Video Title (from TOC),Video Filename,Video ID,Quiz,Exam,CEU,Qustn Type,Question,Correct,Incorrect 1,Incorrect 2,Incorrect 3,Correct Explanation,Incorrect 1 Explanation,Incorrect 2 Explanation,Incorrect 3 Explanation,Subdomain,Difficulty Level,Is Practice Exam,Good/Bug/Needs Improvement,Actionable Feedback,Matches Learning Objective
00_03 Overview of CICD,,,,,,,What does the acronym CI/CD stand for in the context of software development?,"Continuous Integration, Continuous Delivery, Continuous Deployment","Continuous Integration, Continuous Development, Continuous Deployment","Continuous Improvement, Continuous Delivery, Continuous Deployment","Continuous Integration, Continuous Deployment, Continuous Debugging","CI/CD stands for Continuous Integration, Continuous Delivery, and Continuous Deployment, which are phases of software development.",Continuous Development is not part of the CI/CD acronym; Continuous Delivery is the correct term.,Continuous Improvement is not part of the CI/CD acronym; Continuous Integration is the correct term.,Continuous Debugging is not part of the CI/CD acronym; Continuous Delivery is the correct term.,,,,,,
00_03 Overview of CICD,,,,,,,What is the main goal of Continuous Integration (CI)?,To identify and resolve problems quickly and early in the development process.,To automate the deployment of software into production.,To package software and prepare it for release.,To integrate multiple features and deliver them simultaneously.,"The main goal of Continuous Integration (CI) is to allow teams to identify and resolve problems quickly and early in the development process by regularly committing code to a shared repository, testing it, and checking for errors or requirements.","Automating the deployment of software into production is the goal of Continuous Deployment, not Continuous Integration.","Packaging software and preparing it for release is the goal of Continuous Delivery, not Continuous Integration.","Integrating multiple features and delivering them simultaneously is related to system-level tests in Continuous Delivery, not the main goal of Continuous Integration.",,,,,,
00_03 Overview of CICD,,,,,,,How does Continuous Deployment differ from Continuous Delivery in terms of automation?,Continuous Deployment involves fully automated deployment to production environments without human interaction.,Continuous Deployment requires manual approval before deploying to production.,Continuous Deployment focuses on integrating code changes into a shared repository.,Continuous Deployment packages the software and prepares it for release.,"Continuous Deployment involves fully automating the deployment process to production environments without human interaction, ensuring rapid and reliable software releases.",Continuous Deployment does not require manual approval; it is fully automated.,"Integrating code changes into a shared repository is the focus of Continuous Integration, not Continuous Deployment.","Packaging the software and preparing it for release is the focus of Continuous Delivery, not Continuous Deployment.",,,,,,
00_04 Understanding Pipeline Limits,,,,,,,What is the purpose of Large File Storage (LFS) in Bitbucket?,To store binary files that are larger than typical text files used to store code.,To store small text files used for documentation.,To store only image files.,To store only video files.,Large File Storage (LFS) in Bitbucket is intended for binary files that are larger than the typical text files used to store code.,LFS is not intended for small text files; it is meant for larger binary files.,"While LFS can store image files, it is not limited to image files only; it is for any larger binary files.","LFS can store video files, but it is not exclusive to video files; it is for larger binary files in general.",,,,,,
00_04 Understanding Pipeline Limits,,,,,,,How do the limitations of the Bitbucket free tier impact the scalability of a team's CI/CD processes?,The limitations on storage and build minutes can restrict a team's ability to scale their CI/CD processes as their projects and team size grow.,The limitations only affect the number of repositories a team can create.,The limitations prevent any form of automated testing.,The limitations do not impact the CI/CD process in any significant way.,"The limitations on storage and build minutes in the Bitbucket free tier can restrict a team's ability to scale their CI/CD processes because they may quickly run out of the allocated resources as their projects and team size grow, necessitating a move to a paid plan for more resources.",The limitations on storage and build minutes do not affect the number of repositories; Bitbucket offers unlimited repositories even in the free tier.,"The limitations do not prevent automated testing entirely, but the limited build minutes can restrict the amount of automated testing that can be performed.","The limitations do impact the CI/CD process, particularly in terms of scalability and resource availability.",,,,,,
01_02 Bitbucket Pipelines Configuration,,,,,,,Where should the Bitbucket Pipelines configuration file be placed in a repository?,At the root of the repository,"In a folder named ""pipelines""","In the ""src"" directory","In a hidden "".config"" directory","The Bitbucket Pipelines configuration file, named `bitbucket-pipelines.yml`, should be placed at the root of the repository.","The configuration file is not placed in a folder named ""pipelines""; it should be placed at the root of the repository.","The configuration file is not placed in the ""src"" directory; it should be placed at the root of the repository.","The configuration file is not placed in a hidden "".config"" directory; it should be placed at the root of the repository.",,,,,,
01_02 Bitbucket Pipelines Configuration,,,,,,,What is the purpose of the `pipelines` keyword in the `bitbucket-pipelines.yml` file?,It identifies the start of specific pipeline configurations.,It specifies the Docker image to use for the pipeline.,It defines the triggers for the pipeline.,It lists the steps within the pipeline.,"The `pipelines` keyword is used to identify the start of specific pipeline configurations in the `bitbucket-pipelines.yml` file, allowing multiple pipelines to be configured in a single file.","Specifying the Docker image is done within the pipeline configuration, not with the `pipelines` keyword.",Triggers are defined separately within the pipeline configuration and are not associated with the `pipelines` keyword.,"Steps are listed within the pipeline configuration, but the `pipelines` keyword identifies the start of the configuration.",,,,,,
03_01 Default Images,,,,,,,What are the implications of not specifying a Docker image in your Bitbucket pipeline configuration?,The pipeline will use a default image provided by Bitbucket.,The pipeline will fail to run.,The pipeline will run without any Docker image.,The pipeline will use an image specified in the previous configuration.,"If no Docker image is specified in the Bitbucket pipeline configuration, a default image provided by Bitbucket will be used for the execution environment.",The pipeline will not fail to run; it will use the default image provided by Bitbucket.,The pipeline requires an execution environment and will use a default image if none is specified.,The pipeline does not inherit images from previous configurations; it uses a default image if none is specified in the current configuration.,,,,,,
01_03 Configuring Pipeline Stages,,,,,,,What keyword is used to group multiple steps together in a Bitbucket pipeline configuration?,stage,group,section,,"The `stage` keyword is used in Bitbucket pipeline configuration to group multiple steps together, allowing for better organization and sequential execution within that stage.",The `group` keyword is not used in Bitbucket pipeline configuration; `stage` is the correct keyword for grouping steps.,The `section` keyword is not used to group steps; `stage` is the correct keyword for this purpose.,,,,,,,
01_03 Configuring Pipeline Stages,,,,,,,You have a pipeline with three integration steps running in parallel and two deployment steps. How can you group the deployment steps together?,Use the `stage` keyword to group the deployment steps together.,Use the `parallel` keyword to group the deployment steps together.,Use the `steps` keyword to group the deployment steps together.,Use the `trigger` keyword to group the deployment steps together.,"To group deployment steps together, you should use the `stage` keyword in the Bitbucket pipeline configuration, which allows you to organize steps into stages for better management and execution control.","The `parallel` keyword is used to run steps concurrently, not to group them into stages.","The `steps` keyword defines individual steps within a stage or pipeline, not for grouping steps into stages.","The `trigger` keyword is used to define conditions for starting pipelines, not for grouping steps into stages.",,,,,,
